id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1090794,"ENSG00000111432",11051,"FZD10","frizzled family receptor 10",11211,"12","n/a","n/a"
1101719,"ENSG00000180340",2519,"FZD2","frizzled family receptor 2",2535,"17","n/a","n/a"
1089778,"ENSG00000104290",7930,"FZD3","frizzled family receptor 3",7976,"8","n/a","n/a"
1100725,"ENSG00000174804",8264,"FZD4","frizzled family receptor 4",8322,"11","n/a","n/a"
1097908,"ENSG00000163251",7809,"FZD5","frizzled family receptor 5",7855,"2","n/a","n/a"
1098430,"ENSG00000164930",8265,"FZD6","frizzled family receptor 6",8323,"8","n/a","n/a"
1096841,"ENSG00000155760",8266,"FZD7","frizzled family receptor 7",8324,"2","n/a","n/a"
1101196,"ENSG00000177283",8267,"FZD8","frizzled family receptor 8",8325,"10","n/a","n/a"
1103639,"ENSG00000188763",8268,"FZD9","frizzled family receptor 9",8326,"7","n/a","n/a"
1090071,"ENSG00000105723",2914,"GSK3A","glycogen synthase kinase 3 alpha",2931,"19","n/a","n/a"
1088453,"ENSG00000082701",2915,"GSK3B","glycogen synthase kinase 3 beta",2932,"3","n/a","n/a"
1100546,"ENSG00000173801",3703,"JUP","junction plakoglobin",3728,"17","n/a","n/a"
1100387,"ENSG00000172977",10377,"KAT5","K(lysine) acetyltransferase 5",10524,"11","n/a","n/a"
1096954,"ENSG00000156650",23277,"KAT6B","K(lysine) acetyltransferase 6B",23522,"10","n/a","n/a"
1094202,"ENSG00000136504",10984,"KAT7","K(lysine) acetyltransferase 7",11143,"17","n/a","n/a"
1094664,"ENSG00000138795",30658,"LEF1","lymphoid enhancer-binding factor 1",51176,"4","n/a","n/a"
1092284,"ENSG00000123384",4010,"LRP1","low density lipoprotein receptor-related protein 1",4035,"12","n/a","n/a"
1099383,"ENSG00000168702",32833,"LRP1B","low density lipoprotein receptor-related protein 1B",53353,"2","n/a","n/a"
1088413,"ENSG00000081479",4011,"LRP2","low density lipoprotein receptor-related protein 2",4036,"2","n/a","n/a"
1093272,"ENSG00000130881",4012,"LRP3","low density lipoprotein receptor-related protein 3",4037,"19","n/a","n/a"
1093835,"ENSG00000134569",4013,"LRP4","low density lipoprotein receptor-related protein 4",4038,"11","n/a","n/a"
1097658,"ENSG00000162337",4016,"LRP5","low density lipoprotein receptor-related protein 5",4041,"11","n/a","n/a"
1089058,"ENSG00000100068",60033,"LRP5L","low density lipoprotein receptor-related protein 5-like",91355,"22","n/a","n/a"
1087967,"ENSG00000070018",4015,"LRP6","low density lipoprotein receptor-related protein 6",4040,"12","n/a","n/a"
1093173,"ENSG00000130396",4276,"MLLT4","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4",4301,"6","n/a","n/a"
1104004,"ENSG00000196611",4286,"MMP1","matrix metallopeptidase 1 (interstitial collagenase)",4312,"11","n/a","n/a"
1094439,"ENSG00000137745",4296,"MMP13","matrix metallopeptidase 13 (collagenase 3)",4322,"11","n/a","n/a"
1097023,"ENSG00000157227",4297,"MMP14","matrix metallopeptidase 14 (membrane-inserted)",4323,"14","n/a","n/a"
1089624,"ENSG00000102996",4298,"MMP15","matrix metallopeptidase 15 (membrane-inserted)",4324,"16","n/a","n/a"
1096885,"ENSG00000156103",4299,"MMP16","matrix metallopeptidase 16 (membrane-inserted)",4325,"8","n/a","n/a"
1092276,"ENSG00000123342",4301,"MMP19","matrix metallopeptidase 19",4327,"12","n/a","n/a"
1088606,"ENSG00000087245",4287,"MMP2","matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)",4313,"16","n/a","n/a"
1094423,"ENSG00000137674",9179,"MMP20","matrix metallopeptidase 20",9313,"11","n/a","n/a"
1096711,"ENSG00000154485",78723,"MMP21","matrix metallopeptidase 21",118856,"10","n/a","n/a"
1103796,"ENSG00000189409",8444,"MMP23B","matrix metallopeptidase 23B",8510,"1","n/a","n/a"
1092674,"ENSG00000125966",10735,"MMP24","matrix metallopeptidase 24 (membrane-inserted)",10893,"20","n/a","n/a"
1087088,"ENSG00000008516",40987,"MMP25","matrix metallopeptidase 25",64386,"16","n/a","n/a"
1094424,"ENSG00000137675",40699,"MMP27","matrix metallopeptidase 27",64066,"11","n/a","n/a"
1093036,"ENSG00000129270",54987,"MMP28","matrix metallopeptidase 28",79148,"17","n/a","n/a"
1094422,"ENSG00000137673",4290,"MMP7","matrix metallopeptidase 7 (matrilysin, uterine)",4316,"11","n/a","n/a"
1091676,"ENSG00000118113",4291,"MMP8","matrix metallopeptidase 8 (neutrophil collagenase)",4317,"11","n/a","n/a"
1089301,"ENSG00000100985",4292,"MMP9","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",4318,"20","n/a","n/a"
1097770,"ENSG00000162736",23140,"NCSTN","nicastrin",23385,"1","n/a","n/a"
1096018,"ENSG00000148400",4820,"NOTCH1","notch 1",4851,"9","n/a","n/a"
1093774,"ENSG00000134250",4822,"NOTCH2","notch 2",4853,"1","n/a","n/a"
1088127,"ENSG00000074181",4823,"NOTCH3","notch 3",4854,"19","n/a","n/a"
1105079,"ENSG00000204301",4824,"NOTCH4","notch 4",4855,"6","n/a","n/a"
1100851,"ENSG00000175426",5090,"PCSK1","proprotein convertase subtilisin/kexin type 1",5122,"5","n/a","n/a"
1092644,"ENSG00000125851",5094,"PCSK2","proprotein convertase subtilisin/kexin type 2",5126,"20","n/a","n/a"
1091288,"ENSG00000115257",34049,"PCSK4","proprotein convertase subtilisin/kexin type 4",54760,"19","n/a","n/a"
1088955,"ENSG00000099139",5093,"PCSK5","proprotein convertase subtilisin/kexin type 5",5125,"9","n/a","n/a"
1094900,"ENSG00000140479",5014,"PCSK6","proprotein convertase subtilisin/kexin type 6",5046,"15","n/a","n/a"
1097453,"ENSG00000160613",9035,"PCSK7","proprotein convertase subtilisin/kexin type 7",9159,"11","n/a","n/a"
1088382,"ENSG00000080815",5631,"PSEN1","presenilin 1",5663,"14","n/a","n/a"
1095399,"ENSG00000143801",5632,"PSEN2","presenilin 2 (Alzheimer disease 4)",5664,"1","n/a","n/a"
1105397,"ENSG00000205155",35139,"PSENEN","presenilin enhancer 2 homolog (C. elegans)",55851,"19","n/a","n/a"
1090670,"ENSG00000110400",5786,"PVRL1","poliovirus receptor-related 1 (herpesvirus entry mediator C)",5818,"11","n/a","n/a"
1099264,"ENSG00000168214",3495,"RBPJ","recombination signal binding protein for immunoglobulin kappa J region",3516,"4","n/a","n/a"
1092400,"ENSG00000124232",11153,"RBPJL","recombination signal binding protein for immunoglobulin kappa J region-like",11317,"20","n/a","n/a"
1096451,"ENSG00000152284",57683,"TCF7L1","transcription factor 7-like 1 (T-cell specific, HMG-box)",83439,"2","n/a","n/a"
1096058,"ENSG00000148737",6894,"TCF7L2","transcription factor 7-like 2 (T-cell specific, HMG-box)",6934,"10","n/a","n/a"
1090580,"ENSG00000109654",23076,"TRIM2","tripartite motif containing 2",23321,"4","n/a","n/a"
1090648,"ENSG00000110171",10465,"TRIM3","tripartite motif containing 3",10612,"11","n/a","n/a"
1095571,"ENSG00000144935",7177,"TRPC1","transient receptor potential cation channel, subfamily C, member 1",7220,"3","n/a","n/a"
1094642,"ENSG00000138741",7179,"TRPC3","transient receptor potential cation channel, subfamily C, member 3",7222,"4","n/a","n/a"
1093625,"ENSG00000133107",7180,"TRPC4","transient receptor potential cation channel, subfamily C, member 4",7223,"13","n/a","n/a"
1088062,"ENSG00000072315",7181,"TRPC5","transient receptor potential cation channel, subfamily C, member 5",7224,"X","n/a","n/a"
1094421,"ENSG00000137672",7182,"TRPC6","transient receptor potential cation channel, subfamily C, member 6",7225,"11","n/a","n/a"
1087937,"ENSG00000069018",36391,"TRPC7","transient receptor potential cation channel, subfamily C, member 7",57113,"5","n/a","n/a"
1092517,"ENSG00000125084",7428,"WNT1","wingless-type MMTV integration site family, member 1",7471,"12","n/a","n/a"
1094089,"ENSG00000135925",56127,"WNT10A","wingless-type MMTV integration site family, member 10A",80326,"2","n/a","n/a"
1099654,"ENSG00000169884",7437,"WNT10B","wingless-type MMTV integration site family, member 10B",7480,"12","n/a","n/a"
1088544,"ENSG00000085741",7438,"WNT11","wingless-type MMTV integration site family, member 11",7481,"11","n/a","n/a"
1086889,"ENSG00000002745",30865,"WNT16","wingless-type MMTV integration site family, member 16",51384,"7","n/a","n/a"
1090121,"ENSG00000105989",7429,"WNT2","wingless-type MMTV integration site family member 2",7472,"7","n/a","n/a"
1093770,"ENSG00000134245",7439,"WNT2B","wingless-type MMTV integration site family, member 2B",7482,"1","n/a","n/a"
1090413,"ENSG00000108379",7430,"WNT3","wingless-type MMTV integration site family, member 3",7473,"17","n/a","n/a"
1096698,"ENSG00000154342",59720,"WNT3A","wingless-type MMTV integration site family, member 3A",89780,"1","n/a","n/a"
1097713,"ENSG00000162552",33652,"WNT4","wingless-type MMTV integration site family, member 4",54361,"1","n/a","n/a"
1091164,"ENSG00000114251",7431,"WNT5A","wingless-type MMTV integration site family, member 5A",7474,"3","n/a","n/a"
1090748,"ENSG00000111186",56740,"WNT5B","wingless-type MMTV integration site family, member 5B",81029,"12","n/a","n/a"
1091355,"ENSG00000115596",7432,"WNT6","wingless-type MMTV integration site family, member 6",7475,"2","n/a","n/a"
1096743,"ENSG00000154764",7433,"WNT7A","wingless-type MMTV integration site family, member 7A",7476,"3","n/a","n/a"
1103465,"ENSG00000188064",7434,"WNT7B","wingless-type MMTV integration site family, member 7B",7477,"22","n/a","n/a"
1087702,"ENSG00000061492",7435,"WNT8A","wingless-type MMTV integration site family, member 8A",7478,"5","n/a","n/a"
1088173,"ENSG00000075290",7436,"WNT8B","wingless-type MMTV integration site family, member 8B",7479,"10","n/a","n/a"
1095402,"ENSG00000143816",7440,"WNT9A","wingless-type MMTV integration site family, member 9A",7483,"1","n/a","n/a"
1097231,"ENSG00000158955",7441,"WNT9B","wingless-type MMTV integration site family, member 9B",7484,"17","n/a","n/a"
